	z-dna_#	z-dna.slop100_#	z-dna.slop200_#	z-dna_%	z-dna.slop100_%	z-dna.slop200_%	quadruplex_#	quadruplex.slop100_#	quadruplex.slop200_#	quadruplex_%	quadruplex.slop100_%	quadruplex.slop200_%	sidd_#	sidd.slop100_#	sidd.slop200_#	sidd_%	sidd.slop100_%	sidd.slop200_%	h-dna_#	h-dna.slop100_#	h-dna.slop200_#	h-dna_%	h-dna.slop100_%	h-dna.slop200_%
miR-802	1	126	248	0.003990582225946766	0.5028133604692925	0.9896643920347978	5	101	265	0.024687700587567273	0.49869155186885894	1.3084481311410654	62	168	314	0.4053347280334728	1.0983263598326358	2.0528242677824267	0	93	224	0.0	0.543859649122807	1.3099415204678362
miR-1306	5	777	1533	0.019952911129733828	3.100682389560637	6.117562552376392	161	853	1480	0.7949439589196663	4.211721720238977	7.307559373919912	56	554	811	0.36610878661087864	3.6218619246861925	5.302039748953975	40	509	961	0.23391812865497078	2.976608187134503	5.619883040935672
miR-101	1	198	403	0.003990582225946766	0.7901352807374596	1.6082046370565466	0	111	317	0.0	0.5480669530439934	1.5652002172517652	183	392	637	1.1963912133891215	2.562761506276151	4.164487447698745	0	126	325	0.0	0.7368421052631579	1.9005847953216373
miR-139	0	147	307	0.0	0.5866155872141745	1.225108743365657	0	103	255	0.0	0.5085666321038859	1.259072729965931	90	231	366	0.5883891213389121	1.5101987447698746	2.392782426778243	0	108	276	0.0	0.631578947368421	1.6140350877192984
miR-150	1	519	925	0.003990582225946766	2.0711121752663715	3.6912885590007583	98	516	967	0.4838789315163186	2.547770700636943	4.774601293635511	129	465	755	0.8433577405857741	3.040010460251046	4.935930962343097	6	250	523	0.03508771929824561	1.461988304093567	3.0584795321637426
miR-191	0	54	143	0.0	0.21549144020112532	0.5706532583103875	0	47	93	0.0	0.2320643855231324	0.4591912309287513	17	45	74	0.11114016736401675	0.29419456066945604	0.48378661087866104	2	39	86	0.011695906432748539	0.22807017543859648	0.5029239766081871
miR-214	5	479	837	0.019952911129733828	1.9114888862285007	3.340117323117443	7	339	685	0.03456278082259418	1.6738260998370613	3.3822149804967165	51	281	484	0.3334205020920502	1.8370815899581587	3.1642259414225946	0	169	362	0.0	0.9883040935672515	2.116959064327485
miR-223	0	91	235	0.0	0.3631429825611557	0.93778682309749	0	76	213	0.0	0.37525304893102257	1.0516960450303658	60	207	323	0.3922594142259414	1.353294979079498	2.111663179916318	0	82	211	0.0	0.47953216374269003	1.2339181286549707
miR-425	0	143	301	0.0	0.5706532583103875	1.2011652500099765	0	86	211	0.0	0.42462845010615713	1.041820964795339	64	205	322	0.41841004184100417	1.3402196652719665	2.1051255230125525	0	95	237	0.0	0.5555555555555556	1.3859649122807018
miR-187	32	241	547	0.1276986312302965	0.9617303164531705	2.182848477592881	1	142	522	0.0049375401175134545	0.7011306966869105	2.5773959413420235	25	81	471	0.16344142259414224	0.5295502092050209	3.0792364016736404	0	74	169	0.0	0.43274853801169594	0.9883040935672515
miR-489	0	385	568	0.0	1.5363741569895049	2.266650704337763	0	113	296	0.0	0.5579420332790204	1.4615118747839826	88	219	377	0.5753138075313807	1.4317468619246863	2.4646966527196654	0	94	242	0.0	0.5497076023391813	1.4152046783625731
miR-490	0	260	651	0.0	1.037551378746159	2.5978690290913447	6	308	672	0.029625240705080727	1.5207623561941441	3.318026958969041	82	291	521	0.5360878661087867	1.9024581589958158	3.4061192468619246	0	153	409	0.0	0.894736842105263	2.391812865497076
miR-383	0	316	609	0.0	1.2610239833991779	2.4302645756015804	3	227	523	0.014812620352540364	1.1208216066755543	2.582333481459537	140	385	683	0.9152719665271967	2.516997907949791	4.465219665271967	0	237	488	0.0	1.3859649122807018	2.853801169590643
miR-186	0	193	557	0.0	0.7701823696077258	2.2227542998523484	1	329	644	0.0049375401175134545	1.6244506986619267	3.179775835678665	880	1178	1529	5.7531380753138075	7.701359832635983	9.996077405857742	21	423	745	0.12280701754385966	2.473684210526316	4.35672514619883
miR-325	0	107	245	0.0	0.42699229817630396	0.9776926453569577	0	81	224	0.0	0.3999407495185898	1.1060089863230138	306	512	701	2.0005230125523012	3.3472803347280333	4.582897489539748	0	142	315	0.0	0.8304093567251462	1.8421052631578945
miR-873	6	747	1614	0.023943493355680592	2.980964922782234	6.44079971267808	16	715	1402	0.07900064188021527	3.5303411840221206	6.922431244753864	203	872	1448	1.3271443514644352	5.7008368200836825	9.46652719665272	21	673	1357	0.12280701754385966	3.9356725146198834	7.935672514619883
miR-340	1	173	373	0.003990582225946766	0.6903707250887905	1.4884871702781437	2	1185	1358	0.009875080235026909	5.850985039253444	6.705179479583272	552	1686	1928	3.608786610878661	11.022489539748955	12.60460251046025	0	214	644	0.0	1.2514619883040934	3.7660818713450293
miR-1251	0	253	552	0.0	1.0096173031645317	2.2028013887226146	8	607	2090	0.039500320940107636	2.9970868513306668	10.31945884560312	68	280	1886	0.444560669456067	1.8305439330543933	12.330020920502092	4	320	660	0.023391812865497078	1.8713450292397662	3.8596491228070176
miR-28/708	0	610	1324	0.0	2.4342551578275273	5.283530867153518	6	675	2278	0.029625240705080727	3.332839579321582	11.24771638769565	71	468	1244	0.464173640167364	3.059623430962343	8.132845188284518	2	341	853	0.011695906432748539	1.9941520467836256	4.988304093567251
miR-127	0	197	436	0.0	0.7861446985115128	1.7398938505127897	11	173	319	0.054312941292648007	0.8541944403298276	1.5750752974867923	4	48	82	0.02615062761506276	0.3138075313807531	0.5360878661087867	1	37	81	0.0058479532163742695	0.21637426900584797	0.4736842105263158
miR-134	1	289	597	0.003990582225946766	1.1532782632986154	2.382377588890219	10	204	413	0.049375401175134545	1.0072581839727448	2.039204068533057	76	351	513	0.49686192468619245	2.294717573221757	3.3538179916317996	0	114	307	0.0	0.6666666666666667	1.7953216374269005
