Gene Feature	Promoter (<=1kb)	Promoter (<=1kb)	Promoter (<=1kb)	Promoter (<=1kb)	Promoter (<=1kb)	Promoter (<=1kb)	Promoter (<=1kb)	Promoter (<=1kb)	Promoter (<=1kb)	Promoter (<=1kb)	Promoter (<=1kb)	Promoter (<=1kb)	Promoter (<=1kb)	Promoter (<=1kb)	Promoter (<=1kb)	Promoter (<=1kb)	Promoter (<=1kb)	Promoter (<=1kb)	Promoter (<=1kb)	Promoter (<=1kb)	Promoter (<=1kb)	Promoter (<=1kb)	Promoter (<=1kb)	Promoter (<=1kb)	Promoter (1-2kb)	Promoter (1-2kb)	Promoter (1-2kb)	Promoter (1-2kb)	Promoter (1-2kb)	Promoter (1-2kb)	Promoter (1-2kb)	Promoter (1-2kb)	Promoter (1-2kb)	Promoter (1-2kb)	Promoter (1-2kb)	Promoter (1-2kb)	Promoter (1-2kb)	Promoter (1-2kb)	Promoter (1-2kb)	Promoter (1-2kb)	Promoter (1-2kb)	Promoter (1-2kb)	Promoter (1-2kb)	Promoter (1-2kb)	Promoter (1-2kb)	Promoter (1-2kb)	Promoter (1-2kb)	Promoter (1-2kb)	Promoter (2-3kb)	Promoter (2-3kb)	Promoter (2-3kb)	Promoter (2-3kb)	Promoter (2-3kb)	Promoter (2-3kb)	Promoter (2-3kb)	Promoter (2-3kb)	Promoter (2-3kb)	Promoter (2-3kb)	Promoter (2-3kb)	Promoter (2-3kb)	Promoter (2-3kb)	Promoter (2-3kb)	Promoter (2-3kb)	Promoter (2-3kb)	Promoter (2-3kb)	Promoter (2-3kb)	Promoter (2-3kb)	Promoter (2-3kb)	Promoter (2-3kb)	Promoter (2-3kb)	Promoter (2-3kb)	Promoter (2-3kb)	5' UTR	5' UTR	5' UTR	5' UTR	5' UTR	5' UTR	5' UTR	5' UTR	5' UTR	5' UTR	5' UTR	5' UTR	5' UTR	5' UTR	5' UTR	5' UTR	5' UTR	5' UTR	5' UTR	5' UTR	5' UTR	5' UTR	5' UTR	5' UTR	Exon	Exon	Exon	Exon	Exon	Exon	Exon	Exon	Exon	Exon	Exon	Exon	Exon	Exon	Exon	Exon	Exon	Exon	Exon	Exon	Exon	Exon	Exon	Exon	Intron	Intron	Intron	Intron	Intron	Intron	Intron	Intron	Intron	Intron	Intron	Intron	Intron	Intron	Intron	Intron	Intron	Intron	Intron	Intron	Intron	Intron	Intron	Intron	3' UTR	3' UTR	3' UTR	3' UTR	3' UTR	3' UTR	3' UTR	3' UTR	3' UTR	3' UTR	3' UTR	3' UTR	3' UTR	3' UTR	3' UTR	3' UTR	3' UTR	3' UTR	3' UTR	3' UTR	3' UTR	3' UTR	3' UTR	3' UTR	Downstream (<=300bp)	Downstream (<=300bp)	Downstream (<=300bp)	Downstream (<=300bp)	Downstream (<=300bp)	Downstream (<=300bp)	Downstream (<=300bp)	Downstream (<=300bp)	Downstream (<=300bp)	Downstream (<=300bp)	Downstream (<=300bp)	Downstream (<=300bp)	Downstream (<=300bp)	Downstream (<=300bp)	Downstream (<=300bp)	Downstream (<=300bp)	Downstream (<=300bp)	Downstream (<=300bp)	Downstream (<=300bp)	Downstream (<=300bp)	Downstream (<=300bp)	Downstream (<=300bp)	Downstream (<=300bp)	Downstream (<=300bp)	Distal Intergenic	Distal Intergenic	Distal Intergenic	Distal Intergenic	Distal Intergenic	Distal Intergenic	Distal Intergenic	Distal Intergenic	Distal Intergenic	Distal Intergenic	Distal Intergenic	Distal Intergenic	Distal Intergenic	Distal Intergenic	Distal Intergenic	Distal Intergenic	Distal Intergenic	Distal Intergenic	Distal Intergenic	Distal Intergenic	Distal Intergenic	Distal Intergenic	Distal Intergenic	Distal Intergenic
mir_type	conserved	conserved	conserved	conserved	conserved	conserved	conserved	conserved	all	all	all	all	all	all	all	all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved	conserved	conserved	conserved	conserved	conserved	conserved	conserved	all	all	all	all	all	all	all	all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved	conserved	conserved	conserved	conserved	conserved	conserved	conserved	all	all	all	all	all	all	all	all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved	conserved	conserved	conserved	conserved	conserved	conserved	conserved	all	all	all	all	all	all	all	all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved	conserved	conserved	conserved	conserved	conserved	conserved	conserved	all	all	all	all	all	all	all	all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved	conserved	conserved	conserved	conserved	conserved	conserved	conserved	all	all	all	all	all	all	all	all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved	conserved	conserved	conserved	conserved	conserved	conserved	conserved	all	all	all	all	all	all	all	all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved	conserved	conserved	conserved	conserved	conserved	conserved	conserved	all	all	all	all	all	all	all	all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved	conserved	conserved	conserved	conserved	conserved	conserved	conserved	all	all	all	all	all	all	all	all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all	conserved + all
mir_group	Any	M	MJ	J	M+MJ	M+J	MJ+J	M+MJ+J	Any	M	MJ	J	M+MJ	M+J	MJ+J	M+MJ+J	Any	M	MJ	J	M+MJ	M+J	MJ+J	M+MJ+J	Any	M	MJ	J	M+MJ	M+J	MJ+J	M+MJ+J	Any	M	MJ	J	M+MJ	M+J	MJ+J	M+MJ+J	Any	M	MJ	J	M+MJ	M+J	MJ+J	M+MJ+J	Any	M	MJ	J	M+MJ	M+J	MJ+J	M+MJ+J	Any	M	MJ	J	M+MJ	M+J	MJ+J	M+MJ+J	Any	M	MJ	J	M+MJ	M+J	MJ+J	M+MJ+J	Any	M	MJ	J	M+MJ	M+J	MJ+J	M+MJ+J	Any	M	MJ	J	M+MJ	M+J	MJ+J	M+MJ+J	Any	M	MJ	J	M+MJ	M+J	MJ+J	M+MJ+J	Any	M	MJ	J	M+MJ	M+J	MJ+J	M+MJ+J	Any	M	MJ	J	M+MJ	M+J	MJ+J	M+MJ+J	Any	M	MJ	J	M+MJ	M+J	MJ+J	M+MJ+J	Any	M	MJ	J	M+MJ	M+J	MJ+J	M+MJ+J	Any	M	MJ	J	M+MJ	M+J	MJ+J	M+MJ+J	Any	M	MJ	J	M+MJ	M+J	MJ+J	M+MJ+J	Any	M	MJ	J	M+MJ	M+J	MJ+J	M+MJ+J	Any	M	MJ	J	M+MJ	M+J	MJ+J	M+MJ+J	Any	M	MJ	J	M+MJ	M+J	MJ+J	M+MJ+J	Any	M	MJ	J	M+MJ	M+J	MJ+J	M+MJ+J	Any	M	MJ	J	M+MJ	M+J	MJ+J	M+MJ+J	Any	M	MJ	J	M+MJ	M+J	MJ+J	M+MJ+J	Any	M	MJ	J	M+MJ	M+J	MJ+J	M+MJ+J	Any	M	MJ	J	M+MJ	M+J	MJ+J	M+MJ+J	Any	M	MJ	J	M+MJ	M+J	MJ+J	M+MJ+J
Flipon																																																																																																																																																																																																																								
g4	6565	2674	1949	339	3758	2877	2181	3908	6565	6348	5813	1359	6512	6387	5919	6517	6565	6369	5877	1488	6520	6408	5978	6526	1008	395	309	56	569	430	351	595	1008	983	905	224	1003	989	919	1003	1008	984	922	252	1003	990	936	1003	673	264	223	45	374	288	255	392	673	655	629	167	671	658	634	671	673	655	634	188	671	658	639	671	13	7	4	4	9	7	7	9	13	13	12	4	13	13	12	13	13	13	12	5	13	13	12	13	442	207	140	22	284	222	156	295	442	432	397	105	439	434	405	440	442	434	408	109	440	435	414	440	4442	1735	1542	360	2581	1942	1802	2729	4442	4365	4127	1023	4429	4380	4169	4432	4442	4373	4165	1246	4433	4385	4205	4435	264	113	78	16	149	119	87	153	264	261	248	56	263	261	251	263	264	263	248	64	264	263	251	264	11	4	3	0	6	4	3	6	11	11	10	1	11	11	10	11	11	11	10	1	11	11	10	11	6835	2600	2559	570	4018	2965	2999	4301	6835	6722	6357	1393	6816	6737	6410	6818	6835	6733	6421	1792	6821	6746	6471	6821
h-dna	1767	269	400	85	586	346	464	643	1767	1431	1504	624	1618	1508	1567	1646	1767	1431	1514	650	1620	1514	1576	1649	679	102	147	30	215	127	170	234	679	558	562	260	622	589	588	632	679	558	570	267	624	590	597	634	566	107	126	37	200	136	151	218	566	478	493	244	534	491	512	542	566	478	500	255	537	495	517	545	2	0	0	0	0	0	0	0	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	80	10	21	5	27	14	23	29	80	77	75	27	80	77	76	80	80	77	75	28	80	77	76	80	4875	824	975	251	1512	1023	1179	1671	4875	4135	4138	1943	4495	4276	4260	4550	4875	4136	4169	2005	4502	4296	4303	4572	104	20	25	4	38	23	28	41	104	68	73	30	86	76	78	89	104	68	75	31	87	77	79	89	10	4	2	0	5	4	2	5	10	10	10	1	10	10	10	10	10	10	10	1	10	10	10	10	9017	1485	1736	442	2773	1834	2077	3035	9017	7302	7490	3386	8144	7605	7793	8290	9017	7304	7550	3515	8164	7644	7856	8325
sidd	860	790	214	49	805	795	253	810	860	860	657	253	860	860	710	860	860	860	685	273	860	860	739	860	559	529	166	32	538	530	184	538	559	558	452	207	559	559	481	559	559	558	474	214	559	559	498	559	458	440	126	27	447	441	146	447	458	458	363	146	458	458	394	458	458	458	383	157	458	458	408	458	2	1	0	0	1	1	0	1	2	2	0	0	2	2	0	2	2	2	0	0	2	2	0	2	93	89	31	7	89	89	34	89	93	93	75	33	93	93	80	93	93	93	77	36	93	93	82	93	4039	3894	1071	246	3934	3905	1236	3942	4039	4039	3352	1382	4039	4039	3525	4039	4039	4039	3466	1482	4039	4039	3623	4039	173	163	43	13	167	163	53	167	173	173	141	50	173	173	147	173	173	173	146	55	173	173	151	173	12	12	1	1	12	12	2	12	12	12	10	4	12	12	10	12	12	12	10	5	12	12	11	12	9100	8807	2293	530	8874	8828	2664	8888	9100	9099	7421	2947	9100	9100	7852	9100	9100	9100	7669	3164	9100	9100	8060	9100
z-dna	9365	1468	2311	497	3367	1893	2680	3687	9365	4628	6464	2540	7734	5915	7093	8080	9365	4826	6793	2725	7962	6151	7391	8285	1447	282	429	107	606	363	499	660	1447	869	1018	364	1250	1006	1107	1295	1447	909	1087	427	1290	1057	1171	1326	863	208	281	70	395	259	333	433	863	608	642	238	777	667	692	791	863	619	686	280	789	685	730	804	6	2	2	0	4	2	2	4	6	2	3	1	4	2	3	4	6	2	4	1	5	2	4	5	1124	141	281	56	381	187	319	414	1124	532	736	274	898	685	807	942	1124	570	782	300	935	727	850	976	4697	1630	1830	470	2701	1901	2103	2860	4697	4061	3575	1193	4464	4202	3805	4517	4697	4104	3876	1488	4521	4253	4063	4572	225	56	61	16	95	66	73	104	225	144	160	69	200	171	181	209	225	151	167	73	201	177	185	210	13	0	3	1	3	1	3	3	13	9	8	6	11	11	11	12	13	9	10	6	12	11	11	12	7319	2358	2807	544	3943	2707	3150	4183	7319	5720	5351	1690	6651	6053	5749	6778	7319	5797	5856	2028	6849	6184	6198	6971
